,"Järvien lukumäärä","Pinta-ala yhteensä"
Iso-Häähkänen,1,10 ha
Ylä-Tarhu,1,1 ha
Pieni-Huosius,1,2 ha
"Lägnörs fladan",1,4 ha
Kallio-Kourujärvi,1,13 ha
Etu-Salminen,1,6 ha
Pieni-Palonen,1,230 ha
Lammasjärvi,6,4 792 ha
Iso-Lehmeroinen,1,3 ha
Valkea-Karsikko,1,32 ha
Kosinlampi,1,1 ha
Rostojärvi,1,80 ha
Korpisenlampi,1,4 ha
Viitajalampi,2,17 ha
Laukolampi,1,2 ha
Loituma,1,366 ha
Lyylilampi,1,5 ha
"Iso Juusolampi",1,12 ha
Kalvkärnsfladan,1,5 ha
Hongistolampi,1,2 ha
"Iso Vuorilampi",2,7 ha
Urkanjärvi,1,41 ha
Tenusenlampi,1,1 ha
"Vähä Kallijärvi",1,13 ha
"Iso Kiemajärvi",1,46 ha
Liittojärvi,1,32 ha
Nuaslompolo,1,8 ha
Tervolampi,4,36 ha
"Vähä Tervajärvi",3,14 ha
Tuohijärvi,2,60 ha
"Keskinen Mustalampi",1,2 ha
Särysjärvi,1,6 ha
Haisevanlampi,5,36 ha
Väärä-Kontunen,1,11 ha
Löksä,1,84 ha
Keskisenjärvi,1,5 ha
Lylykkäänjärvi,1,44 ha
"Musta Karsikkolampi",1,2 ha
Reijusjärvi,1,282 ha
Kulmalammi,1,5 ha
Hasulampi,1,2 ha
"Alimmainen Purtolampi",1,3 ha
Pohoslampi,2,20 ha
Nihkejavri,1,9 ha
Palovuomajärvi,1,21 ha
Orimolampi,1,5 ha
Liivesjärvi,1,11 ha
Tsuomasjavri,1,75 ha
Pyöreäinen,3,46 ha
"Pieni Koivujärvi",1,29 ha
Ollikaisenlampi,1,2 ha
"Iso Palojärvi",6,269 ha
Iso-Viljamoinen,1,30 ha
"Pikku Suorsajärvi",1,10 ha
"Iso Huhtijärvi",2,31 ha
Pikku-Ohtonen,1,8 ha
Iso-Köyrinen,1,40 ha
Kaarlammi,1,2 ha
Pehmiälampi,1,1 ha
Virinlampi,1,1 ha
Mahakas,1,11 ha
Byträsk,4,59 ha
Virkalampi,5,15 ha
"Iso Kukkarolampi",2,21 ha
Moitapaise,1,1 ha
Vaskunjärvi,1,33 ha
Kousukka,1,21 ha
Muuranjärvi,1,1 ha
Julkujärvi,1,3 ha
Putronen,1,1 ha
"Alimmainen Visajärvi",1,6 ha
Lalvatti,1,50 ha
Jolonlampi,1,2 ha
Rämäjärvi,2,16 ha
"Kalapää träsk",1,79 ha
Kalhonlampi,1,7 ha
"Iso Lehtolampi",2,13 ha
Muralampi,1,1 ha
Iso-Pesiö,1,73 ha
Pyhtönen,1,67 ha
"Vähä Mustalammi",1,3 ha
"Pieni Kalalampi",1,2 ha
Laahus,1,35 ha
Kousajärvi,1,2 ha
Kilpisjärvi,1,3 733 ha
Kinnaslammi,1,3 ha
Hanhiluppo,1,2 ha
Tuoreenmaanjärvi,1,3 ha
Ojasenjärvi,1,3 ha
"Iso Paavolampi",2,32 ha
Pienanjärvi,1,302 ha
Puksujärvi,1,9 ha
Kaukojärvi,1,87 ha
Kuhkesladdu,2,4 ha
Pienlampi,1,3 ha
Putkosjärvi,1,220 ha
Uudentalonjärvi,1,242 ha
Voilampi,5,113 ha
Rakennusjärvi,1,11 ha
Rämikattamajärvi,1,7 ha
Piejasjavri,2,8 ha
Harinjärvi,2,168 ha
Ala-Ulpas,1,1 ha
Helalampi-Likolampi,1,13 ha
Reivilammi,1,2 ha
Viraanpäänjärvi,1,2 ha
"Venetjoen tekojärvi",1,1 521 ha
Huopilampi,1,3 ha
"Suuri Kaitajärvi",1,94 ha
Iso-Pentti,1,3 ha
Kolu-Meronen,1,53 ha
Salaksjärvi,1,23 ha
Kaatranen,6,19 ha
"Vähä Liivejärvi",1,2 ha
"Etumainen Metsäjärvi",1,5 ha
"Pikku Oksjärvi",1,3 ha
Patamo,1,50 ha
Korvalammi,1,2 ha
Hävitönlampi,1,5 ha
Suinajärvi,2,21 ha
"Iso Humma",1,5 ha
"Alimmainen Syväjärvi",1,3 ha
Päälompolo,1,10 ha
Jouhteisenlampi,1,3 ha
Salovesi,1,141 ha
Ala-Kortejärvi,1,17 ha
Patalanlammi,1,2 ha
Lakojärvi,1,94 ha
Viiksinselkä,1,1 854 ha
Pikku-Kaatro,1,1 ha
Kolkkimolampi,1,3 ha
Koveri,1,2 ha
Ylä-Onginta,1,3 ha
Sihvonen,2,48 ha
Iso-Sikanen,1,9 ha
Juupajärvi,2,76 ha
Isojärvi,31,8 342 ha
Soukka-Rytky,1,6 ha
Käkölampi,1,8 ha
Sainijärvi,1,17 ha
Kurkiaislampi,1,8 ha
Vuorenaluslampi,2,6 ha
Järvi-Valkeainen,1,16 ha
Sammakkolammi,4,25 ha
Keski-Maksinka,1,1 ha
Iulampi,1,2 ha
Hangatlampi,1,4 ha
Yli-Hoikka,1,25 ha
"Pikku Lummelampi",1,1 ha
Kolmipohja,2,150 ha
Haajaistenjärvi,1,449 ha
Ylä-Hippa,1,160 ha
Korvakkolampi,1,2 ha
Vasavaaranlampi,1,7 ha
Jongunlampi,1,3 ha
Sokojärvi,1,173 ha
Båthusfjärden,1,1 ha
Näpsäjärvi,1,14 ha
Tomperinlampi,1,9 ha
Virnejärvi,1,4 ha
Iso-Niemistö,1,8 ha
Moitjärvi,1,19 ha
Ylä-Musta,1,4 ha
Ruontakunen,1,3 ha
Akkunusjärvi,1,38 ha
Ullavalampi,1,1 ha
Päsmäri,1,283 ha
Ala-Kesiö,1,99 ha
Nurronluoma,1,16 ha
Hessu,1,5 ha
Leppäsenlampi,1,2 ha
"Iso Pajulampi",3,14 ha
Pieni-Tiilikka,1,1 ha
Pentalanjärvi,1,6 ha
Riekamojärvi,1,42 ha
Sassalinjärvi,1,446 ha
Pieni-Pirttijärvi,1,1 ha
Paronjärvi,1,40 ha
Housu-Petro,1,4 ha
Korppilompola,1,16 ha
Iso-Haaranen,1,49 ha
Koskamajärvi,1,29 ha
Matsanen,1,15 ha
Haapolampi,16,307 ha
Kehtosjärvi,1,28 ha
"Suuri Ahvenlampi",3,15 ha
Umianlampi,1,27 ha
Kylälampi,1,22 ha
Kumpusjärvi,1,26 ha
"Brunkom träsk",1,50 ha
Lipukkajärvi,1,133 ha
Mallatlampi,1,3 ha
"Pieni Toulatjärvi",1,66 ha
Alhajärvi,1,4 ha
Sääskjärvi,1,511 ha
Virmonlampi,1,3 ha
Velunjärvi,1,17 ha
Tyrynlampi,2,13 ha
Käpry,1,14 ha
Jauranjärvi,1,3 ha
Mäentakanen,1,2 ha
Harhalanlammi,1,15 ha
Mukajärvi,1,22 ha
Rukkojärvi,1,83 ha
Kontteroinen,1,9 ha
Pieni-Suolampi,2,4 ha
Kirjastenlampi,1,6 ha
Parviaislampi,2,6 ha
Lastenlampi,2,23 ha
Vennanlampi,1,5 ha
Iso-Timonen,1,181 ha
Eväksenjärvi,1,60 ha
Karolampi,1,4 ha
Saukonlampi,1,13 ha
Pohjoislampi,9,65 ha
Pahnulampi,1,1 ha
Vuoskujärvi,3,408 ha
Arapisto,1,2 ha
Ala-Raudanlampi,1,31 ha
Saraalampi,1,9 ha
"Pikku Viljamoinen",1,4 ha
Iso-Saukkonen,1,14 ha
Punelia,1,826 ha
Sammalisenjärvi,1,4 ha
Raikuttajalampi,1,4 ha
"Pieni Susijärvi",1,19 ha
"Pikku Ahvenjärvi",4,49 ha
"Syvä Aittalompolo",1,7 ha
Räikkinälampi,1,5 ha
Labböleträsket,1,12 ha
Iso-Haapinen,1,8 ha
Antiolampi,1,45 ha
Kobbfladan,1,7 ha
Nelijärvi,1,8 ha
Kaleton,33,237 ha
Perulampi,1,3 ha
Torasjärvi,3,792 ha
Saarniolampi,1,4 ha
Toulatjärvi,1,116 ha
Läkeenlahti,1,8 ha
"Iso Itälampi",1,5 ha
Vellurilampi,1,3 ha
Luovanriipi,1,4 ha
Tarhalampi,1,3 ha
Ratikkalampi,1,1 ha
Niesijärvi,2,150 ha
Ylä-Laulaja,1,8 ha
Salakolampi,1,2 ha
Sorsalampi,10,47 ha
Rapinjärvi,1,7 ha
"Ylimmäinen Luujärvi",1,21 ha
Majaalampi,1,1 ha
Liesilampi,1,2 ha
Kakaralampi,1,5 ha
Viinijärvi,3,13 711 ha
Tuorelampi,1,2 ha
Parkko,1,29 ha
"Alainen Sammalkunta",1,12 ha
Lautlampi,1,2 ha
Oripohjanjärvi,1,14 ha
Luhtislampi,1,5 ha
Makkolanjärvi,1,1 ha
Siekujärvi,1,16 ha
Päijännelampi,1,4 ha
Männistönlampi,1,2 ha
Jolhikonlammi,2,3 ha
Nuottaulkujärvi,1,3 ha
Asentolampi,4,25 ha
Soppi,3,116 ha
Ala-Onkamojärvi,1,3 ha
Pisanamjavri,1,10 ha
Vantlotbrunnen,1,3 ha
Kulhapää,2,51 ha
Pyhänpohtianjärvi,1,6 ha
Talviskotalampi,1,4 ha
Pieni-Valkeainen,3,26 ha
Vitiäinen,1,31 ha
Särkiriipi,1,13 ha
"Iso Makarinlampi",1,2 ha
Konioisenlampi,1,8 ha
Sumukanlampi,1,2 ha
Vekaranjärvi,2,172 ha
Huuhanlampi,2,7 ha
Pautatsilampi,1,4 ha
Oululampi,1,1 ha
Syvä-Valkeinen,1,5 ha
Kapeanlampi,1,1 ha
Leiniö,1,6 ha
"Pikku Kuortosjärvi",1,13 ha
"Ylinen Laisjärvi",1,2 ha
"Alimmainen Vaaralampi",1,15 ha
"Matala Aittalompolo",1,12 ha
Särkjärv,1,9 ha
Sikkiölampi,2,4 ha
Putkilampi,1,3 ha
Merunjärvi,1,14 ha
Elessiinlampi,1,11 ha
Palvajärvi,3,149 ha
Iso-Paljakka,1,6 ha
"Pieni Harjujärvi",1,21 ha
"Iso Oravijärvi",1,35 ha
Leppäsjärvi,1,208 ha
Äjttijävri,1,25 ha
Viksjärvi,1,28 ha
Kaksoslammi,2,2 ha
Vigeliuslampi,1,1 ha
Raa'anjärvi,1,15 ha
"Iso Valkialampi",2,22 ha
Kärkkistenjärvi,1,5 ha
Putulanjärvi,1,42 ha
Kivi-Kevätti,1,61 ha
"Ylimmäinen Pihlajalampi",1,3 ha
Kiltajärvi,1,8 ha
Kukaslampi,3,42 ha
Vanhajärvi,2,49 ha
Torkojärvi,3,39 ha
Sallijärvi,1,21 ha
Taketti,1,16 ha
Jänislampi,9,38 ha
Multalammi,1,1 ha
Mynnilänalanen,1,143 ha
Tievjajärvi,2,52 ha
Kylmänlampi,3,54 ha
Höytiö,1,8 ha
Äimislampi,1,1 ha
Kotarijärvi,1,2 ha
Pehkonen,2,5 ha
Saitsalmenlompolo,1,11 ha
Vähä-Hartonen,1,3 ha
Kilpuilampi,1,6 ha
"Pieni Harrilampi",1,7 ha
Vähä-Koukkujärvi,1,6 ha
Soikko-Liimo,1,3 ha
Törmisjärvi,1,7 ha
Harjalampi,2,16 ha
Furuskärsfladan,1,5 ha
"Vähä Pallittajärvi",1,6 ha
Pitkänvaaranlampi,1,3 ha
Syvä-Koppeloinen,1,16 ha
Kapealampi,6,22 ha
Murennuslampi,1,3 ha
Kailalampi,2,6 ha
"Iso Mäkränlampi",1,3 ha
Soikkelo,2,15 ha
Pitkä-Alanne,1,2 ha
Muikkunen,2,18 ha
"Pieni Sirkkainlampi",1,3 ha
Palvia,1,89 ha
Markjärv,1,19 ha
Kohalampi,1,3 ha
Välimeri,1,4 ha
"Suuri Ulvasti",1,10 ha
"Pieni Varkaanlampi",1,4 ha
"Pajimus Tsieskadasjavri",1,9 ha
Paarnajärvi,1,5 ha
Krogarviken,1,2 ha
"Iso Särsjärvi",1,63 ha
Tanikka,1,97 ha
Ievanlampi,1,17 ha
Petäjäriipi,1,1 ha
"Tsoages Karbuljavri",1,59 ha
Ala-Säynäjäluoma,1,30 ha
Kontjärvi,1,5 ha
Kotalompola,1,58 ha
Raatolampi,6,12 ha
Iso-Hietanen,3,94 ha
Lervonlampi,1,1 ha
Parsamenlampi,1,8 ha
"Ylinen Jokijärvi",1,2 ha
Pattijärvi,1,1 ha
Hertunjärvi,2,207 ha
"Alainen Vaherjärvi",1,12 ha
Tänkynjärvi,1,18 ha
Järvilampi,2,6 ha
Vuongelilompola,1,5 ha
Vähä-Palannes,1,3 ha
Kitunen,2,4 ha
Ristiinkäytävä,1,40 ha
Korteaavanlampi,2,5 ha
"Iso Liitonjärvi",1,343 ha
Hehposjavri,1,47 ha
Hanhonen,1,14 ha
Pastjärvi,1,116 ha
Miekkajärvi,5,109 ha
Tyni,1,22 ha
Kutlampi,1,2 ha
Sällinlampi,1,1 ha
Kryckelstjärnen,1,2 ha
Kartiskalampi,4,24 ha
Kapteeninjärvi,1,13 ha
Näsijärvi,1,25 464 ha
Rimminlampi,12,37 ha
Kämppälampi,3,10 ha
Ahetteva,1,29 ha
Pyyppälänjärvi,1,5 ha
"Ylimmäinen Honkalampi",1,8 ha
"Orpo Päri",1,7 ha
Emä-Jorkka,1,9 ha
Luodesjärvi,1,9 ha
Ylä-Korpilampi,1,2 ha
Kala-Peuro,1,10 ha
Pieni-Kaitua,1,2 ha
Hyytiönlampi,1,5 ha
Iso-Tahko,1,34 ha
Leviäjärvi,1,12 ha
Routuslampi,1,31 ha
Mikanlampi,3,57 ha
Dierpmesjávri,1,19 ha
Iso-Laiha,1,8 ha
Pellospäänlampi,1,1 ha
Tytyjärvi,1,1 ha
"Pikku Jussinlampi",1,1 ha
Keski-Siikajärvi,1,43 ha
Ripulinjärvi,1,102 ha
Kevujärvi,1,46 ha
Sorvasjärvi,1,41 ha
Keski-Kalliojärvi,1,1 ha
Piiljärvi,1,25 ha
Sorolampi,1,16 ha
Vanhakotajärvi,1,36 ha
Käpyjärvi,1,7 ha
Kultahuopa,1,3 ha
Haapaniemenjärvi,1,9 ha
Prästträsket,3,47 ha
Itaraisenlampi,1,18 ha
"Vääräkosken voimalan yläallas",1,15 ha
Ävlijärvet,1,53 ha
Kuivanojanlampi,1,3 ha
Brokträsk,1,1 ha
Mustanpitkänlampi,1,5 ha
"Pikku Lomalampi",1,3 ha
"Vähä Sakalammi",1,2 ha
Suuri-Matko,1,36 ha
Junkua,1,185 ha
"Iso Ruuhilampi",1,11 ha
Vasattarilampi,1,1 ha
Silmänkaivamajärvi,1,46 ha
Hoikanlampi,36,193 ha
Kontanjärvi,1,18 ha
"Ylimmäinen Lahnasjärvi",1,25 ha
Oskisjärvi,1,17 ha
Påvisfladan,1,1 ha
"Pieni Savonjärvi",2,6 ha
Palkislampi,1,7 ha
Kaarrejärvi,1,15 ha
Pikijärvi,4,35 ha
Paha-Valkeainen,1,40 ha
Piittislampi,1,7 ha
Nuoliainen,1,2 ha
Latvaojanlammi,1,1 ha
Vähä-Kivari,1,20 ha
Hangasvalkamajärvi,1,2 ha
Ukonvaaja,1,4 ha
Koiranen,1,2 ha
Mielonen,1,9 ha
Karankainen,1,6 ha
Tiilikainen,1,2 ha
Vuorijärvi,36,958 ha
Syöspotinjärvi,1,2 ha
Viranlampi,1,8 ha
Hyötölampi,2,26 ha
Erkinlampi,1,5 ha
Pankkolampi,1,2 ha
"Iso Luhtajärvi",1,8 ha
Anarasjavri,1,4 ha
Ryötinlampi,2,6 ha
Pohlampi,1,10 ha
Karvionjärvi,1,88 ha
Ylä-Musteri,1,2 ha
Iso-Valkeainen,6,370 ha
"Alinen Teerlampi",1,1 ha
Inganlahti,1,2 ha
"Vähä Korpijärvi",1,5 ha
Keski-Makko,1,3 ha
Suonenjärvi,1,45 ha
Nisalampi,1,19 ha
Paha-Kollo,1,2 ha
Vellinen,1,16 ha
Paitalampi,1,2 ha
Kivilompolo,2,40 ha
Nierijärvi,1,95 ha
"Vesanterin Purakki",1,3 ha
Talvirannanselkä,1,182 ha
Ainesjärvi,1,86 ha
Ylä-Koivulampi,1,10 ha
"Pieni Säynätjärvi",2,9 ha
Sammalus,2,70 ha
"Ahon Koukku",1,7 ha
Venesjärvi,2,315 ha
Häntälampi,7,16 ha
Leväjärvi,12,270 ha
Reinikaisenlampi,1,5 ha
Kolmihaara,1,8 ha
Leipolampi,2,5 ha
Syökarinlahti,1,3 ha
Kyöpperijärvi,1,19 ha
Kotapaikanjärvi,1,4 ha
Pilpajärvi,1,79 ha
"Musta Ruokojärvi",1,51 ha
"Iso Viitajärvi",2,109 ha
Pulesjärvi,1,206 ha
Riuttonen,1,46 ha
Költönlampi,1,2 ha
Immasenjärvi,1,62 ha
Tuljamo,1,8 ha
Rohtojavri,1,16 ha
Iso-Kaisla,1,8 ha
Matala-Kokko,1,39 ha
Riipi,1,3 ha
Olavinlampi,1,35 ha
Kråkviksträsket,1,9 ha
Kylänjärvi,2,37 ha
Koskenalus,1,69 ha
Pyöreä-Kollo,1,1 ha
Pieskonlampi,1,5 ha
Inkienlampi,1,2 ha
Paaraislammi,1,5 ha
Raidistonjärvi,1,11 ha
Krupilampi,1,1 ha
"Keskimmäinen Suojärvi",2,17 ha
Borgsjö,1,18 ha
Hietaniitynlahti,1,10 ha
Pikku-Jouttenus,1,4 ha
"Pieni Litjojärvi",1,7 ha
Iso-Saija,1,12 ha
"Iso Sinnamolampi",1,10 ha
Lovttajavrrik,1,10 ha
"Iso Särkilampi",6,25 ha
Keskimmäinen-Tyrsä,1,9 ha
Ala-Hakosalmi,1,18 ha
Jouhenjärvi,5,157 ha
Sonnanen,1,163 ha
"Iso Kerkkälampi",1,10 ha
Laitisenlampi,1,4 ha
Lapin-Kaija,1,3 ha
Varislammi,1,3 ha
Penttilänjärvi,1,10 ha
Ikamonlampi,1,2 ha
Koivuslampi,1,4 ha
"Pieni Ahvenjärvi",6,45 ha
Neivalahdenjärvi,2,16 ha
Toivakkolampi,1,39 ha
Mankisenjärvi,1,3 ha
Postlampi,1,2 ha
Oivijärvi,1,30 ha
Ypyänjärvi,2,28 ha
Pieni-Mula,1,1 ha
"Yläinen Pitkäjärvi",1,4 ha
Tytärlampi,1,2 ha
Visajärvi,1,62 ha
Pieni-Mujunen,1,1 ha
Hekkalanlahti,1,6 ha
"Pikku Järvikäinen",1,3 ha
Tannisenlampi,1,3 ha
Sivinlampi,1,1 ha
Paksuoksanlampi,1,2 ha
Tiinanlampi,1,2 ha
Särkiselkä,1,67 ha
Hämeenlampi,9,59 ha
Hankajärvi,7,646 ha
Ryönilampi,1,4 ha
"Vähä Ukonjärvi",1,13 ha
Julmansuonlampi,1,1 ha
Högbensjön,1,291 ha
Aatsinginjärvi,1,48 ha
Hopjärvi,1,622 ha
Kuijasjärvi,1,3 ha
Ruskialampi,3,37 ha
Jyrmysjärvi,1,15 ha
Porttivaaranlampi,1,5 ha
Vermatlampi,1,6 ha
Vasamajärvi,1,5 ha
"Alimmainen Peniönlampi",1,11 ha
Hukkumalampi,1,2 ha
Iso-Röyhkönen,1,15 ha
"Pieni Vehkalampi",4,9 ha
Yli-Hukkanen,2,62 ha
Syvä-Äylä,1,14 ha
"Nuutin Säyneinen",1,14 ha
Rakkari,1,2 ha
Tsehäjärvi,1,17 ha
Suvilampi,2,16 ha
"Vähä Latojärvi",1,4 ha
Kaisanjärvi,1,74 ha
Sieiddejavri,2,9 ha
"Pieni Jouhtjärvi",1,5 ha
Madelampi,6,35 ha
Tuovilanlampi,1,11 ha
Kononlampi,2,12 ha
Suuri-Säkänen,1,31 ha
Kiikkisjärvi,1,6 ha
Vääräjärvi,80,1 472 ha
Tottijärvi,1,69 ha
Korsujärvi,1,39 ha
Syndersjön,1,62 ha
Vekuna,1,70 ha
Hörhänlampi,1,2 ha
"Kilpukkakasken Pokkujärvi",1,5 ha
Harviojärvi,1,6 ha
Varmalampi,1,5 ha
Rautavesi,2,7 640 ha
"Läntinen Palokotajärvi",1,16 ha
Perkkauksenlampi,1,2 ha
"Iso Akanjärvi",2,307 ha
Onkinen,3,19 ha
Ahokinjärvi,1,41 ha
Kirkko-Surnui,1,106 ha
Kolmikulmalampi,1,4 ha
Iso-Multalampi,1,2 ha
"Iso Ritolampi",1,9 ha
Karankalampi,3,21 ha
Uuranmäenlampi,1,8 ha
Alttovuopio,1,14 ha
Kalmarinselkä,1,705 ha
Vehkoslammi,1,2 ha
Pusulanlampi,1,3 ha
Moisaslampi,1,3 ha
Pikku-Ruokonen,1,3 ha
Tankojärvi,1,6 ha
Koverusjärvi,1,61 ha
"Ylimmäinen Hautalampi",1,3 ha
Petojärvi,1,35 ha
Iso-Häikiäinen,1,10 ha
Ahdistonjärvi,1,15 ha
Pakkalanlammi,1,4 ha
Viljamo,1,53 ha
Louknaistenaukko,1,6 ha
Kaavinjärvi,1,2 105 ha
Vasamalampi,5,9 ha
Kangaspäänjärvi,1,69 ha
Jänni,1,1 ha
Saunlampi,1,3 ha
Kalettomanlampi,35,264 ha
"Pieni Löytöjärvi",1,2 ha
Majoolampi,2,51 ha
"Iso Pääjärvi",1,19 ha
Rassilampi,1,2 ha
Innasenlampi,1,3 ha
Akko,1,35 ha
Matkusjärvi,2,47 ha
Kuhkesjavri,5,105 ha
Raitajärvi,1,14 ha
Bokhällamossen,1,1 ha
Miikkulinlampi,1,2 ha
Vilunen,1,3 ha
Veitsinavanlammit,1,14 ha
"Pikku Aittojärvi",1,77 ha
Käätyjärvi,1,25 ha
Ostojärvi,1,8 ha
"Pieni Rämpsänlampi",1,2 ha
Iijärvi,5,8 954 ha
Vesankajärvi,1,203 ha
Ala-Haajainen,1,119 ha
Pieni-Soppinen,2,4 ha
Uimajärvi,1,25 ha
Varpulampi,8,37 ha
"Iso Kumpulampi",2,14 ha
Rästäslampi,1,6 ha
Rantalampi,2,6 ha
Venejoenlompola,2,9 ha
"Iso Kypärälampi",1,3 ha
Hevosaitajärvi,1,3 ha
Mäyrynlampi,1,2 ha
"Iso Likolampi",1,29 ha
Iso-Huosius,1,5 ha
"Itäinen Kesäkotajärvi",1,23 ha
"Stora Sandjärv",1,82 ha
"Pieni Nasto",1,2 ha
Kielilampi,4,17 ha
Liittolampi,5,36 ha
"Pieni Levälampi",3,10 ha
Santaranjärvi,1,170 ha
Patoislampi,1,3 ha
Kylkeislammi,1,6 ha
Jyröjärvi,1,38 ha
Kutemi,1,20 ha
Kuivasjärvi,4,1 021 ha
"Alinen Särkijärvi",1,10 ha
Rovapäänlampi,2,38 ha
Rödjeträsket,1,2 ha
Jouten,1,59 ha
Munttusjärvi,1,5 ha
Riipijärvi,2,427 ha
Ruokamojärvi,1,90 ha
Ala-Purjejärvi,1,19 ha
Repovesi,1,2 281 ha
Makulampi,1,2 ha
"Pitkän Erkinjärvi",1,12 ha
Konijärvi,3,48 ha
Palsanjärvi,1,10 ha
"Iso Akonjärvi",1,56 ha
Iiverlampi,1,2 ha
Sulkavanjärvi,5,1 497 ha
Pikku-Salmijärvi,1,2 ha
Seurinlampi,1,2 ha
Pikkukoskelojärvi,1,41 ha
Arvejärvi,1,16 ha
Koivulahti,1,3 ha
Heinjärvi,2,193 ha
"Iso Lanalampi",1,5 ha
Kangerjärvi,1,214 ha
Pieni-Ruuhijärvi,1,1 ha
"Iso Salasjärvi",1,21 ha
Lairo,1,55 ha
Kähisijänlampi,2,10 ha
"Maarian allas",1,74 ha
Punkajärvi,1,8 ha
Haisulompolo,1,1 ha
"Patanan tekojärvi",1,990 ha
Niinistönjärvi,1,23 ha
Kuitinlampi,1,2 ha
Kiilonen,1,3 ha
Vähä-Vuorttunen,1,6 ha
Kuukas,1,62 ha
Kauhjärvi,1,38 ha
Olvenlampi,1,1 ha
Immosenlampi,1,10 ha
Karontakanen,1,10 ha
Vaddejavri,1,22 ha
"Iso Hautalampi",2,6 ha
Ponnenjärvi,1,204 ha
Pieni-Heinänen,1,2 ha
"Pieni Roukkulampi",1,3 ha
Flannbrunn,1,2 ha
Manninlampi,1,6 ha
Yli-Typpyrä,1,48 ha
"Pekan Ahvenjärvi",1,24 ha
Rätäkkö,1,2 ha
"Alimmainen Jokijärvi",1,13 ha
"Iso Lehtojärvi",1,29 ha
Annalampi,1,2 ha
Kenkälammi,1,1 ha
"Ylinen Kirjasjärvi",1,31 ha
Kisträsket,1,11 ha
"Iso Pitämä",1,330 ha
"Iso Hallinlammi",1,14 ha
Heinuu,1,27 ha
Kankijärvi,3,19 ha
"Pieni Täilampi",2,5 ha
"Alimmainen Raatelampi",1,27 ha
Aitolampi,4,19 ha
Alasin,2,18 ha
"Iso Aapalampi",3,27 ha
Vallijärvi,2,104 ha
"Iso Turkkilampi",1,3 ha
Rasinlampi,2,5 ha
Mäenpäällystönlampi,1,5 ha
Somerjärvi,1,204 ha
Puikkolampi,1,6 ha
Kankalojärvi,1,24 ha
Pieni-Kaatiainen,1,23 ha
Ylä-Kaislanen,1,38 ha
Selänpääjärvi,1,9 ha
Halttuslammi,1,1 ha
Leilahti,1,1 ha
"Iso Ruokojärvi",2,30 ha
Roinilampi,1,2 ha
Nevonlampi,1,6 ha
Ruutanalammi,1,1 ha
Veromaanlampi,1,3 ha
Keskilampi,27,187 ha
Hanhinen,4,32 ha
"Matala Paltojärvi",1,69 ha
Katinhäntä,2,22 ha
Jouhten,1,38 ha
Siiramo,1,38 ha
Kistörsvattnet,1,1 ha
Yli-Ahvenlampi,1,7 ha
Likalanjärvi,1,87 ha
Suuruslampi,1,3 ha
"Iso Vaaralampi",1,12 ha
Joutenjärvi,17,344 ha
Pyörtynlampi,1,1 ha
Musta-Sorsamo,1,1 ha
Hyvälampi,2,13 ha
"Yläinen Kuusijärvi",1,5 ha
Repolampi,12,55 ha
Napisevanlampi,1,1 ha
Hepolammit,1,10 ha
Iso-Pahlanen,1,18 ha
Osmankajärvi,1,1 148 ha
Talvitielampi,1,3 ha
Iso-Turvakko,1,10 ha
Säynetjärvi,1,12 ha
Karja-Aronlampi,2,4 ha
Pirtinperälampi,1,2 ha
Valklampi,6,53 ha
Pajari,1,29 ha
Telkkälampi,22,56 ha
Otamalahti,1,38 ha
Heloistenlammi,2,9 ha
Kulpinlampi,1,4 ha
Kukasjärvi,6,949 ha
Vangasjärvi,1,431 ha
Rudträsken,3,11 ha
Viidanlampi,1,5 ha
Paha-Haukinen,1,1 ha
Mellanöarna,1,12 ha
Vähä-Maatia,1,3 ha
Pikku-Hyyhynen,1,2 ha
Karanasjävri,2,57 ha
"Vähä Viitalammi",1,1 ha
Kakonlampi,3,40 ha
Putki,1,46 ha
Leviksfjärden,1,26 ha
Kylmänjärvi,4,143 ha
"Pikku Koljosenlampi",2,11 ha
Koutusjärvi,1,222 ha
Vahantalammi,1,2 ha
Kotvanlampi,1,16 ha
Kippisjärvi,1,72 ha
Juuvinlampi,1,3 ha
Johtteluobbalak,2,52 ha
Ylä-Leppälampi,1,37 ha
Nuolijärvi,4,153 ha
Kalilampi,1,13 ha
Leviälampi,1,2 ha
Leukalampi,1,2 ha
Tommuttijärvi,1,37 ha
Kerjojärvi,1,2 ha
Merilintulampi,1,2 ha
Tyrilampi,1,4 ha
Kintulammi,1,8 ha
Piesanlampi,1,6 ha
"Alimmainen Kontioluoma",1,131 ha
Saari-Soppinen,2,15 ha
Rato-Hiirinen,1,4 ha
"Pieni Metsälampi",2,18 ha
Ansionlahti,1,2 ha
Sipulijärvi,1,1 ha
Ravijärvi,2,47 ha
Jättijärvi,1,20 ha
Kolmikolkka,1,1 ha
Stormossaträsket,1,1 ha
Riuttasjärvi,2,221 ha
"Alimmainen Mustajärvi",1,42 ha
Häiväjärvi,1,3 ha
"Ylimmäinen Töyryjärvi",1,25 ha
Tukkalampi,1,3 ha
Rittistörmäjärvi,2,8 ha
Keski-Juurikka,2,11 ha
Keräjärvi,1,5 ha
Virkamaanjärvi,1,7 ha
"Pieni Lehmijärvi",1,2 ha
Saarvo,1,50 ha
Kavajärvi,1,3 ha
Flada,1,8 ha
