,"Järvien lukumäärä","Pinta-ala yhteensä"
"Pieni Kuokkajärvi",1,44 ha
Lähdelammi,1,15 ha
"Pikku Tähilampi",1,10 ha
Sivakkajärvi,5,603 ha
Kuustjärvi,1,19 ha
Hyökeri,1,1 ha
Kekonlampi,1,4 ha
Linniinjärvi,1,42 ha
"Keskimmäinen Verkkolampi",1,2 ha
Vaalalompolo,1,51 ha
"Pieni Sänkilampi",1,2 ha
Jynkkä,1,32 ha
Vaskuunjärvi,1,150 ha
Temo,1,42 ha
Keärddosjavri,2,27 ha
Sulkusjärvi,1,589 ha
Multijärvi,2,178 ha
Pirtintakanen,1,21 ha
Kiesijärvi,2,40 ha
Salkkolampi,1,2 ha
Lemnästräsket,1,97 ha
"Bällby Lillsjön",1,10 ha
Salonlampi,7,31 ha
Kankamo,1,17 ha
Niemijärvi,19,1 044 ha
Loimalammi,1,3 ha
"Yläinen Raiskinlampi",1,2 ha
Sammalislampi,1,17 ha
Laihanhauenjärvi,1,9 ha
Lovasjärvi,1,513 ha
Juortananjärvi,1,249 ha
Jäsys,1,1 537 ha
Suuri-Tevani,1,91 ha
"Suinun Väihi",1,44 ha
Kiislampi,1,16 ha
"Iso Pisanlampi",1,12 ha
Kotasijajärvi,1,3 ha
Kolkonjärvi,8,2 808 ha
Kätkytlampi,1,3 ha
Levä-Soppinen,1,2 ha
Lahokkaanlampi,1,3 ha
Lekkerlampi,1,1 ha
"Pieni Kannellampi",1,2 ha
Saahkarlampi,1,3 ha
Hiikkajärvi,1,2 ha
"Pieni Likolampi",3,35 ha
Mälälampi,1,2 ha
Vatavesi,1,10 ha
Karinlampi,2,11 ha
Tarvolampi,1,3 ha
Teinipussi,1,7 ha
Rytistenlammi,1,2 ha
Yrttiriipi,1,1 ha
"Iso Roukkulampi",1,7 ha
Bredmossträsket,1,1 ha
Pyyjärvi,1,32 ha
Niemi-Kolu,1,3 ha
Harmoistenkaivo,1,17 ha
Katkuvanlahti,1,1 ha
Muhalampi,1,5 ha
Nuoranen,3,86 ha
Kiukerolampi,1,2 ha
Alusjärvi,2,53 ha
Yli-Tupajärvi,1,4 ha
Keski-Koivulampi,1,5 ha
Tutulampi,1,15 ha
Oniträsk,1,2 ha
Severijärvi,1,169 ha
Vääriä,1,17 ha
Virikkolampi,2,4 ha
Hanijärvi,1,3 ha
Koskenjärvi,1,4 ha
Vanajanlammi,1,4 ha
"Iso-Paha lampi",1,13 ha
Pulkkanen,1,16 ha
Kassaralampi,1,1 ha
"Iso Koivulampi",1,3 ha
Korpujärvi,1,2 ha
Kuivikkojärvi,1,98 ha
Ylä-Elämäinen,1,4 ha
Silamus,1,183 ha
Iso-Hirvijärvi,1,11 ha
Surmanlampi,1,2 ha
Hemviken,3,17 ha
"Pieni Hirvijärvi",5,72 ha
"Pieni Pekkolampi",1,1 ha
"Hento Maatt jäuˊrr",1,54 ha
Nuoslampi,1,8 ha
Törmäslompolo,1,46 ha
"Ylimmäinen Kivijärvi",1,25 ha
Iso-Mantila,1,7 ha
Pikku-Kuivisto,1,2 ha
Kelkkulampi,1,4 ha
Ala-Säynelampi,1,61 ha
Haapalammi,3,16 ha
Kaupunginlahti,1,49 ha
Kaikonjärvi,1,7 ha
Paltjangänjärvi,1,4 ha
"Pieni Lohilampi",1,2 ha
Savikonjärvi,1,18 ha
"Ylimmäinen Suolajärvi",1,7 ha
Äkäslompolo,1,78 ha
Kurvinjärvi,1,63 ha
Ala-Lahukka,1,2 ha
Talvisuvanto,1,13 ha
Kupukkalampi,1,8 ha
"Iso Hanslampi",1,4 ha
Pusurinjärvi,1,59 ha
Sikkolampi,2,13 ha
Backansviken,1,4 ha
Pappistenjärvi,1,6 ha
Cueˊjjesjäuˊrr,1,128 ha
Surkee,1,67 ha
Tanilanlammi,1,7 ha
Heinolanlampi,1,2 ha
Haamalampi,1,4 ha
Pikku-Saarinen,1,4 ha
Pieni-Sorsamo,1,2 ha
"Vähä Ruokjärvi",1,62 ha
Saranen,2,7 ha
Virvunlampi,1,4 ha
Pikku-Kaleton,2,11 ha
Norvajärvi,1,1 180 ha
Ruokoslampi,1,5 ha
Kimpuralampi,1,2 ha
Maihlampi,1,32 ha
Anetjärvi,1,369 ha
"Pieni Hiirenjärvi",1,31 ha
Kailasjärvi,2,6 ha
Rautulampi,4,23 ha
Vonganjärvi,1,27 ha
Paanapyytöjärvi,1,7 ha
Mommilanjärvi,1,342 ha
Leppänen,1,143 ha
Käntinlampi,1,9 ha
Särki-Koukero,1,2 ha
Vartuslampi,1,2 ha
"Pikku Pajuluoma",1,45 ha
Sortolampi,3,9 ha
Lemettilampi,1,5 ha
Ylinenriipi,1,3 ha
Raaskaltiajärvi,2,110 ha
"Iso Liivejärvi",1,23 ha
Keskimmäinenlampi,1,4 ha
Keinnodakjavri,2,54 ha
Iso-Karttio,1,9 ha
Kukkanen,1,68 ha
Iso-Häppälä,1,43 ha
Sorsajärvi,8,215 ha
Joortilojärvi,1,22 ha
Sarsonlampi,1,6 ha
Keski-Rehu,1,3 ha
Tsiuhtamohkkejärvi,1,12 ha
Pitslomajärvi,3,6 ha
Kolunlammi,1,1 ha
Kivikarinjärvi,1,1 ha
Laajakoskenjärvi,1,38 ha
Purontauslampi,1,9 ha
Heinijärvi,11,337 ha
Juomalampi,6,14 ha
Riekinlampi,1,2 ha
Ronilampi,5,15 ha
Antolampi,1,3 ha
"Ylimmäinen Savijärvi",1,9 ha
Sahalahti,2,8 ha
Kolminurkka,1,5 ha
Käräjälampi,1,1 ha
Arabianjärvi,1,1 ha
Iso-Kurppa,1,12 ha
Sääperi,1,118 ha
Kusianjärvi,1,393 ha
"Kapea Sailampi",1,1 ha
Nammajavri,3,37 ha
Syömäjärvi,1,43 ha
"Vähä Kailanen",1,4 ha
Naukkajanlampi,1,3 ha
Riitalampi,14,36 ha
"Iso Uumajärvi",1,28 ha
Gäddträsket,1,15 ha
Piilemä,1,24 ha
Ylä-Tuomiojärvi,1,76 ha
Kaurianlampi,1,2 ha
Sågbockkärret,1,2 ha
Hautakorvenlampi,1,1 ha
Seipäistenlampi,1,1 ha
Kiimasjärvi,3,471 ha
Lääpsä,1,3 ha
Iltavellijärvi,1,4 ha
Vaarjärvi,1,9 ha
Bastusjön,1,2 ha
Voipuanjärvi,1,103 ha
"Hansin Kotajärvi",1,13 ha
Salmiset,1,11 ha
Jeägelveäijavri,1,24 ha
Nisosjärvi,1,45 ha
"Vähä Kyrpjärvi",1,5 ha
Junganjärvi,2,119 ha
Kannanlampi,1,1 ha
Ala-Jokilampi,2,2 ha
Päätönjärvi,1,4 ha
Naula-Meronen,1,82 ha
Tattalanlampi,1,41 ha
Stenglo,1,1 ha
Nerosjärvi,1,780 ha
Kastelampi,1,50 ha
Pieni-Keyritti,1,2 ha
Aataminlampi,1,4 ha
Palontaustanlampi,1,12 ha
Vuolijärvi,1,27 ha
Iltavellilampi,2,5 ha
Haarukkalampi,2,4 ha
Pankajärvi,2,2 873 ha
Pulkkamojärvi,1,3 ha
Keski-Salmilampi,1,20 ha
Pitkänsuonlammi,1,1 ha
Silta-Salmijärvi,1,13 ha
Salmi-Köppi,1,2 ha
Bredslagan,1,2 ha
Niitty-Peuro,1,11 ha
Vinjalammi,1,9 ha
Kyyneljärvi,1,614 ha
Riidojavri,1,13 ha
Ahostenlampi,1,1 ha
Pilkkasenlampi,1,1 ha
